date,nav,cash,all_cash,trend_signal,vol,prob,close
2015-12-11,1071620.6702261202,5.8207660913467407e-11,False,0.0,61.8198396425,0.663208489705,4537.56
2015-12-14,1088248.3370158619,5.8207660913467407e-11,False,0.0,57.8428987746,0.676238024194,4570.16
2015-12-15,1093593.2558046642,5.8207660913467407e-11,False,0.0,51.1809084733,0.679558228408,4597.33
2015-12-16,1112355.1098661423,5.8207660913467407e-11,False,0.0,57.0958548839,0.771298664488,4664.56
2015-12-17,1100875.4312052843,5.8207660913467407e-11,False,0.0,55.2472066282,0.728324100101,4598.14
2015-12-18,1086247.4625176974,5.8207660913467407e-11,False,0.0,55.5727745292,0.528058770963,4514.83
2015-12-21,1096706.8361582833,5.8207660913467407e-11,False,0.0,45.848929772,0.429929848487,4560.55
2015-12-22,1101516.2323122043,5.8207660913467407e-11,False,0.0,43.3387097313,0.458887931869,4589.26
2015-12-23,1100967.4379763564,5.8207660913467407e-11,False,0.0,43.6799276856,0.494101751068,4624.59
2015-12-24,1100592.9830788798,5.8207660913467407e-11,False,0.0,38.2407205058,0.441040051271,4622.77
2015-12-28,1113764.0632232192,5.8207660913467407e-11,False,0.0,45.171999374,0.449129771197,4621.35
2015-12-29,1134229.2812952015,5.8207660913467407e-11,False,0.0,54.7460274134,0.565796271563,4691.08
2015-12-30,1127096.5304610257,5.8207660913467407e-11,False,0.0,44.321682675,0.447609485831,4652.01
2015-12-31,1108715.780086295,5.8207660913467407e-11,True,0.0,49.2691255639,0.359240229179,4593.27
2016-01-04,1084803.1563936579,1084803.1563936579,True,0.0,49.1195318606,0.264217453871,4497.86
2016-01-05,1084803.1563936579,1084803.1563936579,True,0.0,48.451806806,0.264502720609,4484.18
2016-01-06,1084803.1563936579,1084803.1563936579,True,0.0,53.0289109456,0.222958871547,4443.99
2016-01-07,1084803.1563936579,1084803.1563936579,True,0.0,69.126589924,0.167108013738,4305.72
2016-01-08,1084803.1563936579,1084803.1563936579,True,0.0,58.5969599623,0.152035678067,4270.78
2016-01-11,1084803.1563936579,1084803.1563936579,True,0.0,57.5167803799,0.164792681723,4283.55
2016-01-12,1084803.1563936579,1084803.1563936579,True,0.0,54.1580131386,0.24540134113,4333.72
2016-01-13,1084803.1563936579,1084803.1563936579,True,0.0,78.1721475344,0.20201812565,4183.12
2016-01-14,1084803.1563936579,1084803.1563936579,True,0.0,76.3277603844,0.232265761468,4272.97
2016-01-15,1084803.1563936579,1084803.1563936579,True,0.0,78.4952569715,0.151590298673,4141.08
2016-01-19,1084803.1563936579,1084803.1563936579,True,0.0,58.2503945992,0.104209228498,4147.07
2016-01-20,1084803.1563936579,1084803.1563936579,True,0.0,77.4244605438,0.0981544045808,4136.28
2016-01-21,1084803.1563936579,1084803.1563936579,True,0.0,57.1725013032,0.0876584372397,4142.6
2016-01-22,1084803.1563936579,1084803.1563936579,True,0.0,61.6722495414,0.170483535447,4259.77
2016-01-25,1084803.1563936579,1084803.1563936579,True,0.0,51.754236327,0.13846886937,4196.53
2016-01-26,1084803.1563936579,1084803.1563936579,True,0.0,51.3227391569,0.15987783214,4233.85
2016-01-27,1084803.1563936579,1084803.1563936579,True,0.0,62.3975898848,0.108266979043,4128.86
2016-01-28,1084803.1563936579,1084803.1563936579,True,0.0,52.984640254,0.147774449239,4186.06
2016-01-29,1084803.1563936579,1084803.1563936579,True,0.0,56.099915147,0.180402095153,4279.17
2016-02-01,1084803.1563936579,1084803.1563936579,True,0.0,48.8435716592,0.201954744506,4286.56
2016-02-02,1084803.1563936579,1084803.1563936579,True,0.0,58.5905073305,0.19083632724,4193.1
2016-02-03,1084803.1563936579,1084803.1563936579,True,0.0,61.4641538887,0.116036844973,4171.97
2016-02-04,1084803.1563936579,1084803.1563936579,True,0.0,52.6049564623,0.123532330543,4167.77
2016-02-05,1084803.1563936579,1084803.1563936579,True,0.0,70.3554417725,0.0764162750447,4024.47
2016-02-08,1084803.1563936579,1084803.1563936579,True,0.0,64.8222992768,0.0759929231511,3960.67
2016-02-09,1084803.1563936579,1084803.1563936579,True,0.0,57.9112948187,0.0654977876539,3947.8
2016-02-10,1084803.1563936579,1084803.1563936579,True,0.0,56.1301173969,0.101920020185,3966.28
